,no_of_comments,sentiment,sentiment_score,ticker,Date
0,382,Bullish,0.13,GME,2022-06-01
1,40,Bullish,0.151,TA,2022-06-01
2,30,Bullish,0.257,TSLA,2022-06-01
3,29,Bullish,0.293,AMZN,2022-06-01
4,25,Bullish,0.903,CRM,2022-06-01
5,22,Bullish,0.286,CHWY,2022-06-01
6,19,Bullish,0.159,AMC,2022-06-01
7,16,Bullish,0.42,FB,2022-06-01
8,14,Bullish,0.008,NIO,2022-06-01
9,12,Bullish,0.849,BC,2022-06-01
10,10,Bullish,0.218,QQQ,2022-06-01
11,10,Bullish,0.209,ON,2022-06-01
12,7,Bullish,0.227,LULU,2022-06-01
13,7,Bullish,0.196,TV,2022-06-01
14,7,Bearish,-0.899,JPM,2022-06-01
15,7,Bullish,0.19,AMD,2022-06-01
16,6,Bearish,-0.359,HAS,2022-06-01
17,6,Bullish,0.226,GS,2022-06-01
18,5,Bearish,-0.109,NVDA,2022-06-01
19,5,Bearish,-0.039,REAL,2022-06-01
20,5,Bullish,0.415,SQQQ,2022-06-01
21,5,Bearish,-0.382,CLOV,2022-06-01
22,5,Bearish,-0.378,VERY,2022-06-01
23,4,Bullish,0.336,ONE,2022-06-01
24,4,Bullish,0.227,EV,2022-06-01
25,4,Bullish,0.67,WISH,2022-06-01
26,4,Bullish,0.71,EOD,2022-06-01
27,4,Bullish,0.153,IBKR,2022-06-01
28,3,Bullish,0.211,RE,2022-06-01
29,3,Bullish,0.177,BY,2022-06-01
30,3,Bearish,-0.225,SMH,2022-06-01
31,3,Bullish,0.875,AA,2022-06-01
32,3,Bullish,0.307,AUTO,2022-06-01
33,3,Bullish,0.019,MSM,2022-06-01
34,3,Bullish,0.255,ET,2022-06-01
35,3,Bullish,0.318,VIEW,2022-06-01
36,3,Bearish,0.0,TECH,2022-06-01
37,3,Bullish,0.12,GOOG,2022-06-01
38,3,Bullish,0.553,SNAP,2022-06-01
39,3,Bullish,0.555,JP,2022-06-01
40,3,Bullish,0.625,TIL,2022-06-01
41,3,Bullish,0.252,BB,2022-06-01
42,3,Bearish,-0.134,SNDL,2022-06-01
43,3,Bullish,0.015,OXY,2022-06-01
44,3,Bullish,0.421,KR,2022-06-01
